RANK,MOVEMENT,PLAYER_ID,PLAYER,SPAVG,TOTAL SG:PUTTING,MEASURED ROUNDS
136,-1,58967,Trevor Werbylo,-0.172,-9.817,57
137,-1,36871,Matt NeSmith,-0.175,-14.138,81
138,-1,56762,Will Gordon,-0.178,-15.323,86
139,-1,45609,Tyler Duncan,-0.187,-14.246,76
140,-1,27095,Nick Watney,-0.189,-10.186,54
141,-1,39067,MJ Daffue,-0.190,-13.894,73
142,-1,33948,Byeong Hun An,-0.194,-17.247,89
143,-1,49298,Kramer Hickok,-0.202,-15.146,75
144,-1,32448,James Hahn,-0.204,-14.068,69
145,-1,52375,Doug Ghim,-0.215,-15.696,73
146,-1,31577,Tano Goya,-0.230,-14.284,62
147,-1,35901,Paul Haley II,-0.232,-15.789,68
148,-1,51349,Nico Echavarria,-0.233,-12.141,52
149,-1,39324,J.J. Spaun,-0.247,-19.754,80
150,-1,37455,Si Woo Kim,-0.261,-21.644,83
151,-1,46414,Aaron Rai,-0.262,-22.794,87
152,-1,33408,Tyson Alexander,-0.264,-18.208,69
153,-1,30692,Scott Stallings,-0.265,-17.491,66
153,-1,57366,Cameron Young,-0.265,-16.932,64
155,-1,32662,Michael Gligic,-0.282,-14.362,51
156,-1,51070,Vincent Norrman,-0.283,-18.384,65
157,-1,33122,Russell Knox,-0.288,-23.302,81
157,-1,55893,Sam Stevens,-0.288,-23.651,82
159,-1,34255,Joseph Bramlett,-0.297,-20.182,68
159,-1,30163,Henrik Norlander,-0.297,-19.925,67
161,-1,46046,Scottie Scheffler,-0.301,-22.286,74
162,-1,46340,Alex Smalley,-0.305,-27.478,90
163,-1,39954,Cody Gribble,-0.316,-14.855,47
164,-1,32816,Satoshi Kodaira,-0.323,-12.932,40
165,-1,46601,Trey Mullinax,-0.328,-21.948,67
166,-1,25900,Lucas Glover,-0.344,-27.489,80
167,-1,52372,Cameron Champ,-0.355,-19.870,56
168,-1,23320,Ryan Palmer,-0.371,-23.749,64
169,-1,34610,Matthias Schwab,-0.389,-31.106,80
170,-1,37338,Zecheng Dou,-0.431,-32.319,75
171,-1,34431,Robert Streb,-0.438,-25.821,59
172,-1,59018,Ryan Gerard,-0.441,-21.144,48
173,-1,52411,Kyle Westmoreland,-0.447,-25.453,57
174,0,48084,Wesley Bryan,-0.451,-12.616,28
175,-2,24925,Jonathan Byrd,-0.457,-16.459,36
176,-2,36326,David Lipsky,-0.466,-37.775,81
177,-2,27554,Scott Harrington,-0.470,-26.295,56
178,-2,56630,Akshay Bhatia,-0.479,-26.360,55
178,-2,31557,Jim Herman,-0.479,-29.231,61
180,-2,32640,Troy Merritt,-0.480,-33.086,69
181,-2,36724,Augusto Núñez,-0.518,-29.527,57
182,-2,51950,Max McGreevy,-0.527,-33.219,63
183,-2,31323,Gary Woodland,-0.568,-42.014,74
184,-2,12716,Charley Hoffman,-0.591,-32.517,55
185,-2,34076,Joel Dahmen,-0.603,-44.051,73
186,-2,39335,Kevin Roy,-0.607,-31.588,52
187,-2,27129,Luke List,-0.648,-51.834,80
188,-2,25686,Jason Dufner,-0.715,-48.602,68
189,-2,45242,Kevin Yu,-0.804,-37.789,47
190,-2,51414,Brent Grant,-1.048,-56.609,54
191,-2,51491,Brandon Matthews,-1.072,-45.008,42
